"","Begin_Date","Begin_Hour","Maneuver","Transit"
"1",2023-06-27,0,0,0
"2",2023-06-27,1,0,0
"3",2023-06-27,2,0,0
"4",2023-06-27,3,0,0
"5",2023-06-27,4,0,0
"6",2023-06-27,5,0,0
"7",2023-06-27,6,0,0
"8",2023-06-27,7,0,0
"9",2023-06-27,8,0,0
"10",2023-06-27,9,0,0
"11",2023-06-27,10,0,0
"12",2023-06-27,11,0,0
"13",2023-06-27,12,0,0
"14",2023-06-27,13,0,0
"15",2023-06-27,14,0,0
"16",2023-06-27,15,0,0
"17",2023-06-27,16,0,0
"18",2023-06-27,17,0,0
"19",2023-06-27,18,0,0
"20",2023-06-27,19,0,0
"21",2023-06-27,20,0,0
"22",2023-06-27,21,0,0
"23",2023-06-27,22,0,0
"24",2023-06-27,23,0,0
"25",2023-06-28,0,0,1
"26",2023-06-28,1,0,0
"27",2023-06-28,2,0,0
"28",2023-06-28,3,0,0
"29",2023-06-28,4,0,0
"30",2023-06-28,5,0,0
"31",2023-06-28,6,0,0
"32",2023-06-28,7,0,0
"33",2023-06-28,8,0,0
"34",2023-06-28,9,0,0
"35",2023-06-28,10,0,0
"36",2023-06-28,11,0,0
"37",2023-06-28,12,0,0
"38",2023-06-28,13,0,0
"39",2023-06-28,14,0,0
"40",2023-06-28,15,0,0
"41",2023-06-28,16,0,0
"42",2023-06-28,17,0,0
"43",2023-06-28,18,0,0
"44",2023-06-28,19,0,0
"45",2023-06-28,20,0,0
"46",2023-06-28,21,0,0
"47",2023-06-28,22,0,0
"48",2023-06-28,23,0,0
"49",2023-06-29,0,0,0
"50",2023-06-29,1,0,0
"51",2023-06-29,2,0,0
"52",2023-06-29,3,0,0
"53",2023-06-29,4,0,0
"54",2023-06-29,5,0,0
"55",2023-06-29,6,0,0
"56",2023-06-29,7,0,0
"57",2023-06-29,8,0,0
"58",2023-06-29,9,0,0
"59",2023-06-29,10,0,0
"60",2023-06-29,11,0,0
"61",2023-06-29,12,0,0
"62",2023-06-29,13,0,0
"63",2023-06-29,14,0,0
"64",2023-06-29,15,0,0
"65",2023-06-29,16,0,0
"66",2023-06-29,17,0,0
"67",2023-06-29,18,0,0
"68",2023-06-29,19,0,0
"69",2023-06-29,20,0,0
"70",2023-06-29,21,0,0
"71",2023-06-29,22,0,0
"72",2023-06-29,23,0,0
"73",2023-06-30,0,0,0
"74",2023-06-30,1,0,0
"75",2023-06-30,2,0,0
"76",2023-06-30,3,0,0
"77",2023-06-30,4,0,0
"78",2023-06-30,5,0,0
"79",2023-06-30,6,0,1
"80",2023-06-30,7,0,0
"81",2023-06-30,8,0,0
"82",2023-06-30,9,0,0
"83",2023-06-30,10,0,0
"84",2023-06-30,11,0,0
"85",2023-06-30,12,0,0
"86",2023-06-30,13,0,0
"87",2023-06-30,14,0,0
"88",2023-06-30,15,0,0
"89",2023-06-30,16,0,0
"90",2023-06-30,17,0,0
"91",2023-06-30,18,0,0
"92",2023-06-30,19,0,0
"93",2023-06-30,20,0,0
"94",2023-06-30,21,0,0
"95",2023-06-30,22,0,0
"96",2023-06-30,23,0,0
"97",2023-07-01,0,0,0
"98",2023-07-01,1,0,0
"99",2023-07-01,2,0,0
"100",2023-07-01,3,0,0
"101",2023-07-01,4,0,0
"102",2023-07-01,5,0,0
"103",2023-07-01,6,0,0
"104",2023-07-01,7,0,0
"105",2023-07-01,8,0,0
"106",2023-07-01,9,0,0
"107",2023-07-01,10,0,0
"108",2023-07-01,11,0,0
"109",2023-07-01,12,0,0
"110",2023-07-01,13,0,0
"111",2023-07-01,14,0,0
"112",2023-07-01,15,0,0
"113",2023-07-01,16,0,0
"114",2023-07-01,17,0,1
"115",2023-07-01,18,0,0
"116",2023-07-01,19,0,0
"117",2023-07-01,20,0,0
"118",2023-07-01,21,0,0
"119",2023-07-01,22,0,0
"120",2023-07-01,23,0,0
"121",2023-07-02,0,0,0
"122",2023-07-02,1,0,0
"123",2023-07-02,2,0,0
"124",2023-07-02,3,0,0
"125",2023-07-02,4,0,0
"126",2023-07-02,5,0,0
"127",2023-07-02,6,0,0
"128",2023-07-02,7,0,0
"129",2023-07-02,8,0,0
"130",2023-07-02,9,0,0
"131",2023-07-02,10,0,1
"132",2023-07-02,11,0,0
"133",2023-07-02,12,0,0
"134",2023-07-02,13,0,0
"135",2023-07-02,14,0,0
"136",2023-07-02,15,0,0
"137",2023-07-02,16,0,0
"138",2023-07-02,17,0,0
"139",2023-07-02,18,0,1
"140",2023-07-02,19,0,0
"141",2023-07-02,20,0,0
"142",2023-07-02,21,0,0
"143",2023-07-02,22,0,0
"144",2023-07-02,23,0,0
"145",2023-07-03,0,0,0
"146",2023-07-03,1,0,0
"147",2023-07-03,2,0,0
"148",2023-07-03,3,0,0
"149",2023-07-03,4,0,0
"150",2023-07-03,5,0,0
"151",2023-07-03,6,0,0
"152",2023-07-03,7,0,0
"153",2023-07-03,8,0,0
"154",2023-07-03,9,0,0
"155",2023-07-03,10,0,0
"156",2023-07-03,11,0,0
"157",2023-07-03,12,0,0
"158",2023-07-03,13,0,0
"159",2023-07-03,14,0,0
"160",2023-07-03,15,0,0
"161",2023-07-03,16,0,0
"162",2023-07-03,17,0,0
"163",2023-07-03,18,0,1
"164",2023-07-03,19,0,0
"165",2023-07-03,20,0,0
"166",2023-07-03,21,0,0
"167",2023-07-03,22,0,0
"168",2023-07-03,23,0,0
"169",2023-07-04,0,0,0
"170",2023-07-04,1,0,0
"171",2023-07-04,2,0,0
"172",2023-07-04,3,0,0
"173",2023-07-04,4,0,0
"174",2023-07-04,5,0,0
"175",2023-07-04,6,0,0
"176",2023-07-04,7,0,0
"177",2023-07-04,8,0,0
"178",2023-07-04,9,0,0
"179",2023-07-04,10,0,0
"180",2023-07-04,11,0,0
"181",2023-07-04,12,0,0
"182",2023-07-04,13,0,0
"183",2023-07-04,14,0,0
"184",2023-07-04,15,0,0
"185",2023-07-04,16,0,0
"186",2023-07-04,17,0,0
"187",2023-07-04,18,0,0
"188",2023-07-04,19,0,0
"189",2023-07-04,20,0,0
"190",2023-07-04,21,0,0
"191",2023-07-04,22,0,0
"192",2023-07-04,23,0,0
"193",2023-07-05,0,0,0
"194",2023-07-05,1,0,0
"195",2023-07-05,2,0,0
"196",2023-07-05,3,0,0
"197",2023-07-05,4,0,0
"198",2023-07-05,5,0,0
"199",2023-07-05,6,0,0
"200",2023-07-05,7,0,0
"201",2023-07-05,8,0,0
"202",2023-07-05,9,0,0
"203",2023-07-05,10,0,0
"204",2023-07-05,11,0,0
"205",2023-07-05,12,0,0
"206",2023-07-05,13,0,0
"207",2023-07-05,14,0,0
"208",2023-07-05,15,0,0
"209",2023-07-05,16,0,0
"210",2023-07-05,17,0,0
"211",2023-07-05,18,0,0
"212",2023-07-05,19,0,0
"213",2023-07-05,20,0,0
"214",2023-07-05,21,0,0
"215",2023-07-05,22,0,0
"216",2023-07-05,23,0,0
"217",2023-07-06,0,0,0
"218",2023-07-06,1,0,0
"219",2023-07-06,2,0,0
"220",2023-07-06,3,0,0
"221",2023-07-06,4,0,1
"222",2023-07-06,5,0,0
"223",2023-07-06,6,0,0
"224",2023-07-06,7,0,1
"225",2023-07-06,8,0,0
"226",2023-07-06,9,0,0
"227",2023-07-06,10,0,0
"228",2023-07-06,11,0,0
"229",2023-07-06,12,0,0
"230",2023-07-06,13,0,0
"231",2023-07-06,14,0,0
"232",2023-07-06,15,0,0
"233",2023-07-06,16,0,0
"234",2023-07-06,17,0,0
"235",2023-07-06,18,0,0
"236",2023-07-06,19,0,0
"237",2023-07-06,20,0,0
"238",2023-07-06,21,0,0
"239",2023-07-06,22,0,0
"240",2023-07-06,23,0,0
"241",2023-07-07,0,0,0
"242",2023-07-07,1,0,0
"243",2023-07-07,2,0,0
"244",2023-07-07,3,0,1
"245",2023-07-07,4,0,0
"246",2023-07-07,5,0,0
"247",2023-07-07,6,0,0
"248",2023-07-07,7,0,0
"249",2023-07-07,8,0,0
"250",2023-07-07,9,0,0
"251",2023-07-07,10,0,0
"252",2023-07-07,11,0,0
"253",2023-07-07,12,0,0
"254",2023-07-07,13,0,0
"255",2023-07-07,14,0,0
"256",2023-07-07,15,0,0
"257",2023-07-07,16,0,0
"258",2023-07-07,17,0,0
"259",2023-07-07,18,0,0
"260",2023-07-07,19,0,0
"261",2023-07-07,20,0,0
"262",2023-07-07,21,0,0
"263",2023-07-07,22,0,0
"264",2023-07-07,23,0,0
"265",2023-07-08,0,0,0
"266",2023-07-08,1,0,0
"267",2023-07-08,2,0,0
"268",2023-07-08,3,0,0
"269",2023-07-08,4,0,0
"270",2023-07-08,5,0,0
"271",2023-07-08,6,0,0
"272",2023-07-08,7,0,0
"273",2023-07-08,8,0,0
"274",2023-07-08,9,0,0
"275",2023-07-08,10,0,1
"276",2023-07-08,11,0,0
"277",2023-07-08,12,0,0
"278",2023-07-08,13,0,1
"279",2023-07-08,14,0,0
"280",2023-07-08,15,0,0
"281",2023-07-08,16,0,0
"282",2023-07-08,17,0,0
"283",2023-07-08,18,0,0
"284",2023-07-08,19,0,0
"285",2023-07-08,20,0,0
"286",2023-07-08,21,0,0
"287",2023-07-08,22,0,1
"288",2023-07-08,23,0,0
"289",2023-07-09,0,0,0
"290",2023-07-09,1,0,0
"291",2023-07-09,2,0,0
"292",2023-07-09,3,0,0
"293",2023-07-09,4,0,1
"294",2023-07-09,5,0,0
"295",2023-07-09,6,0,0
"296",2023-07-09,7,0,0
"297",2023-07-09,8,0,0
"298",2023-07-09,9,0,0
"299",2023-07-09,10,0,0
"300",2023-07-09,11,0,0
"301",2023-07-09,12,0,0
"302",2023-07-09,13,0,0
"303",2023-07-09,14,0,0
"304",2023-07-09,15,0,0
"305",2023-07-09,16,0,0
"306",2023-07-09,17,0,0
"307",2023-07-09,18,0,0
"308",2023-07-09,19,0,0
"309",2023-07-09,20,0,0
"310",2023-07-09,21,0,0
"311",2023-07-09,22,0,0
"312",2023-07-09,23,0,0
"313",2023-07-10,0,0,0
"314",2023-07-10,1,0,0
"315",2023-07-10,2,0,0
"316",2023-07-10,3,0,0
"317",2023-07-10,4,0,0
"318",2023-07-10,5,0,0
"319",2023-07-10,6,0,0
"320",2023-07-10,7,0,0
"321",2023-07-10,8,0,0
"322",2023-07-10,9,0,0
"323",2023-07-10,10,0,0
"324",2023-07-10,11,0,0
"325",2023-07-10,12,0,1
"326",2023-07-10,13,0,0
"327",2023-07-10,14,0,0
"328",2023-07-10,15,0,1
"329",2023-07-10,16,0,0
"330",2023-07-10,17,0,0
"331",2023-07-10,18,0,0
"332",2023-07-10,19,0,0
"333",2023-07-10,20,0,0
"334",2023-07-10,21,0,0
"335",2023-07-10,22,0,0
"336",2023-07-10,23,0,0
"337",2023-07-11,0,0,0
"338",2023-07-11,1,0,0
"339",2023-07-11,2,0,0
"340",2023-07-11,3,0,0
"341",2023-07-11,4,0,0
"342",2023-07-11,5,0,0
"343",2023-07-11,6,0,0
"344",2023-07-11,7,0,1
"345",2023-07-11,8,0,0
"346",2023-07-11,9,0,0
"347",2023-07-11,10,0,0
"348",2023-07-11,11,0,0
"349",2023-07-11,12,0,0
"350",2023-07-11,13,0,0
"351",2023-07-11,14,0,0
"352",2023-07-11,15,0,0
"353",2023-07-11,16,0,0
"354",2023-07-11,17,0,0
"355",2023-07-11,18,0,0
"356",2023-07-11,19,0,0
"357",2023-07-11,20,0,0
"358",2023-07-11,21,0,0
"359",2023-07-11,22,0,0
"360",2023-07-11,23,0,0
"361",2023-07-12,0,0,0
"362",2023-07-12,1,0,0
"363",2023-07-12,2,0,0
"364",2023-07-12,3,0,0
"365",2023-07-12,4,0,0
"366",2023-07-12,5,0,0
"367",2023-07-12,6,0,0
"368",2023-07-12,7,0,0
"369",2023-07-12,8,0,0
"370",2023-07-12,9,0,0
"371",2023-07-12,10,0,0
"372",2023-07-12,11,0,0
"373",2023-07-12,12,0,0
"374",2023-07-12,13,0,0
"375",2023-07-12,14,0,0
"376",2023-07-12,15,0,0
"377",2023-07-12,16,0,0
"378",2023-07-12,17,0,0
"379",2023-07-12,18,0,0
"380",2023-07-12,19,0,0
"381",2023-07-12,20,0,0
"382",2023-07-12,21,0,0
"383",2023-07-12,22,0,0
"384",2023-07-12,23,0,0
"385",2023-07-13,0,0,0
"386",2023-07-13,1,0,0
"387",2023-07-13,2,0,0
"388",2023-07-13,3,0,0
"389",2023-07-13,4,0,0
"390",2023-07-13,5,0,0
"391",2023-07-13,6,0,0
"392",2023-07-13,7,0,0
"393",2023-07-13,8,0,0
"394",2023-07-13,9,0,0
"395",2023-07-13,10,0,0
"396",2023-07-13,11,0,0
"397",2023-07-13,12,0,0
"398",2023-07-13,13,0,0
"399",2023-07-13,14,0,0
"400",2023-07-13,15,0,0
"401",2023-07-13,16,0,0
"402",2023-07-13,17,0,0
"403",2023-07-13,18,0,0
"404",2023-07-13,19,0,0
"405",2023-07-13,20,0,0
"406",2023-07-13,21,0,0
"407",2023-07-13,22,0,0
"408",2023-07-13,23,0,0
"409",2023-07-14,0,0,0
"410",2023-07-14,1,0,0
"411",2023-07-14,2,0,0
"412",2023-07-14,3,0,0
"413",2023-07-14,4,0,0
"414",2023-07-14,5,0,0
"415",2023-07-14,6,0,0
"416",2023-07-14,7,0,0
"417",2023-07-14,8,0,0
"418",2023-07-14,9,0,0
"419",2023-07-14,10,0,0
"420",2023-07-14,11,0,0
"421",2023-07-14,12,0,0
"422",2023-07-14,13,0,0
"423",2023-07-14,14,0,0
"424",2023-07-14,15,0,0
"425",2023-07-14,16,0,0
"426",2023-07-14,17,0,0
"427",2023-07-14,18,0,1
"428",2023-07-14,19,0,0
"429",2023-07-14,20,0,0
"430",2023-07-14,21,0,0
"431",2023-07-14,22,0,0
"432",2023-07-14,23,0,0
"433",2023-07-15,0,0,0
"434",2023-07-15,1,0,0
"435",2023-07-15,2,0,0
"436",2023-07-15,3,0,0
"437",2023-07-15,4,0,0
"438",2023-07-15,5,0,0
"439",2023-07-15,6,0,0
"440",2023-07-15,7,0,0
"441",2023-07-15,8,0,0
"442",2023-07-15,9,0,0
"443",2023-07-15,10,0,0
"444",2023-07-15,11,0,0
"445",2023-07-15,12,0,0
"446",2023-07-15,13,0,0
"447",2023-07-15,14,0,0
"448",2023-07-15,15,0,0
"449",2023-07-15,16,0,0
"450",2023-07-15,17,0,0
"451",2023-07-15,18,0,0
"452",2023-07-15,19,0,0
"453",2023-07-15,20,0,0
"454",2023-07-15,21,0,0
"455",2023-07-15,22,0,1
"456",2023-07-15,23,0,0
"457",2023-07-16,0,0,1
"458",2023-07-16,1,0,0
"459",2023-07-16,2,0,0
"460",2023-07-16,3,0,0
"461",2023-07-16,4,0,0
"462",2023-07-16,5,0,0
"463",2023-07-16,6,0,0
"464",2023-07-16,7,0,0
"465",2023-07-16,8,0,0
"466",2023-07-16,9,1,0
"467",2023-07-16,10,0,1
"468",2023-07-16,11,0,0
"469",2023-07-16,12,0,0
"470",2023-07-16,13,0,0
"471",2023-07-16,14,0,1
"472",2023-07-16,15,0,0
"473",2023-07-16,16,0,0
"474",2023-07-16,17,0,0
"475",2023-07-16,18,0,0
"476",2023-07-16,19,0,0
"477",2023-07-16,20,0,0
"478",2023-07-16,21,0,0
"479",2023-07-16,22,0,0
"480",2023-07-16,23,0,0
"481",2023-07-17,0,0,0
"482",2023-07-17,1,0,0
"483",2023-07-17,2,0,0
"484",2023-07-17,3,0,0
"485",2023-07-17,4,0,1
"486",2023-07-17,5,0,0
"487",2023-07-17,6,1,0
"488",2023-07-17,7,0,0
"489",2023-07-17,8,0,0
"490",2023-07-17,9,0,0
"491",2023-07-17,10,0,0
"492",2023-07-17,11,0,0
"493",2023-07-17,12,0,0
"494",2023-07-17,13,0,0
"495",2023-07-17,14,0,0
"496",2023-07-17,15,0,0
"497",2023-07-17,16,0,0
"498",2023-07-17,17,0,0
"499",2023-07-17,18,0,0
"500",2023-07-17,19,0,0
"501",2023-07-17,20,0,0
"502",2023-07-17,21,0,1
"503",2023-07-17,22,0,0
"504",2023-07-17,23,0,0
"505",2023-07-18,0,0,0
"506",2023-07-18,1,0,0
"507",2023-07-18,2,0,0
"508",2023-07-18,3,0,0
"509",2023-07-18,4,0,0
"510",2023-07-18,5,0,0
"511",2023-07-18,6,0,0
"512",2023-07-18,7,0,0
"513",2023-07-18,8,0,0
"514",2023-07-18,9,0,0
"515",2023-07-18,10,0,0
"516",2023-07-18,11,0,1
"517",2023-07-18,12,0,0
"518",2023-07-18,13,0,0
"519",2023-07-18,14,0,0
"520",2023-07-18,15,0,0
"521",2023-07-18,16,0,0
"522",2023-07-18,17,0,0
"523",2023-07-18,18,0,0
"524",2023-07-18,19,0,0
"525",2023-07-18,20,0,0
"526",2023-07-18,21,0,0
"527",2023-07-18,22,0,0
"528",2023-07-18,23,0,0
"529",2023-07-19,0,0,0
"530",2023-07-19,1,0,0
"531",2023-07-19,2,0,0
"532",2023-07-19,3,0,0
"533",2023-07-19,4,0,0
"534",2023-07-19,5,0,0
"535",2023-07-19,6,0,0
"536",2023-07-19,7,0,1
"537",2023-07-19,8,0,0
"538",2023-07-19,9,0,0
"539",2023-07-19,10,0,0
"540",2023-07-19,11,0,0
"541",2023-07-19,12,0,0
"542",2023-07-19,13,0,0
"543",2023-07-19,14,0,0
"544",2023-07-19,15,0,0
"545",2023-07-19,16,0,0
"546",2023-07-19,17,0,0
"547",2023-07-19,18,0,0
"548",2023-07-19,19,0,0
"549",2023-07-19,20,0,1
"550",2023-07-19,21,0,0
"551",2023-07-19,22,0,0
"552",2023-07-19,23,0,0
"553",2023-07-20,0,0,0
"554",2023-07-20,1,0,1
"555",2023-07-20,2,0,0
"556",2023-07-20,3,0,0
"557",2023-07-20,4,0,0
"558",2023-07-20,5,1,0
"559",2023-07-20,6,0,0
"560",2023-07-20,7,0,0
"561",2023-07-20,8,0,0
"562",2023-07-20,9,0,0
"563",2023-07-20,10,0,0
"564",2023-07-20,11,0,0
"565",2023-07-20,12,0,0
"566",2023-07-20,13,0,0
"567",2023-07-20,14,0,0
"568",2023-07-20,15,0,0
"569",2023-07-20,16,0,0
"570",2023-07-20,17,0,0
"571",2023-07-20,18,0,0
"572",2023-07-20,19,0,0
"573",2023-07-20,20,0,0
"574",2023-07-20,21,0,0
"575",2023-07-20,22,0,0
"576",2023-07-20,23,0,0
"577",2023-07-21,0,0,0
"578",2023-07-21,1,0,0
"579",2023-07-21,2,0,0
